"ID";"Lagerort";"x_Koordinate";"y_Koordinate";"z_Koordinate"; 
"278";"0";"6950";"3300";"2325"; 
"279";"0";"7350";"3300";"2325"; 
"280";"0";"7750";"3300";"2325"; 
"281";"0";"150";"4200";"2325"; 
"282";"0";"550";"4200";"2325"; 
"283";"0";"950";"4200";"2325"; 
"284";"0";"1350";"4200";"2325"; 
"285";"0";"1750";"4200";"2325"; 
"286";"0";"2150";"4200";"2325"; 
"287";"0";"2550";"4200";"2325"; 
"288";"0";"2950";"4200";"2325"; 
"289";"0";"3350";"4200";"2325"; 
"290";"0";"3750";"4200";"2325"; 
"291";"0";"4150";"4200";"2325"; 
"292";"0";"4550";"4200";"2325"; 
"293";"0";"4950";"4200";"2325"; 
"294";"0";"5350";"4200";"2325"; 
"295";"0";"5750";"4200";"2325"; 
"296";"0";"6150";"4200";"2325"; 
"297";"0";"6550";"4200";"2325"; 
"298";"0";"6950";"4200";"2325"; 
"299";"0";"7350";"4200";"2325"; 
"300";"0";"7750";"4200";"2325"; 
"301";"0";"150";"5200";"2325"; 
"302";"0";"550";"5200";"2325"; 
"303";"0";"950";"5200";"2325"; 
"304";"0";"1350";"5200";"2325"; 
"305";"0";"1750";"5200";"2325"; 
"306";"0";"2150";"5200";"2325"; 
"307";"0";"2550";"5200";"2325"; 
"308";"0";"2950";"5200";"2325"; 
"309";"0";"3350";"5200";"2325"; 
"310";"0";"3750";"5200";"2325"; 
"311";"0";"4150";"5200";"2325"; 
"312";"0";"4550";"5200";"2325"; 
"313";"0";"4950";"5200";"2325"; 
"314";"0";"5350";"5200";"2325"; 
"315";"0";"5750";"5200";"2325"; 
"316";"0";"6150";"5200";"2325"; 
"317";"0";"6550";"5200";"2325"; 
"318";"0";"6950";"5200";"2325"; 
"319";"0";"7350";"5200";"2325"; 
"320";"0";"7750";"5200";"2325"; 
"321";"0";"150";"6100";"2325"; 
"322";"0";"550";"6100";"2325"; 
"323";"0";"950";"6100";"2325"; 
"324";"0";"1350";"6100";"2325"; 
"325";"0";"1750";"6100";"2325"; 
"326";"0";"2150";"6100";"2325"; 
"327";"0";"2550";"6100";"2325"; 
"328";"0";"2950";"6100";"2325"; 
"329";"0";"3350";"6100";"2325"; 
"330";"0";"3750";"6100";"2325"; 
"331";"0";"4150";"6100";"2325"; 
"332";"0";"4550";"6100";"2325"; 
"333";"0";"4950";"6100";"2325"; 
"334";"0";"5350";"6100";"2325"; 
"335";"0";"5750";"6100";"2325"; 
"336";"0";"6150";"6100";"2325"; 
"337";"0";"6550";"6100";"2325"; 
"338";"0";"6950";"6100";"2325"; 
"339";"0";"7350";"6100";"2325"; 
"340";"0";"7750";"6100";"2325"; 
"341";"0";"150";"7100";"2325"; 
"342";"0";"550";"7100";"2325"; 
"343";"0";"950";"7100";"2325"; 
"344";"0";"1350";"7100";"2325"; 
"345";"0";"1750";"7100";"2325"; 
"346";"0";"2150";"7100";"2325"; 
"347";"0";"2550";"7100";"2325"; 
"348";"0";"2950";"7100";"2325"; 
"349";"0";"3350";"7100";"2325"; 
"350";"0";"3750";"7100";"2325"; 
"351";"0";"4150";"7100";"2325"; 
"352";"0";"4550";"7100";"2325"; 
"353";"0";"4950";"7100";"2325"; 
"354";"0";"5350";"7100";"2325"; 
"355";"0";"5750";"7100";"2325"; 
"356";"0";"6150";"7100";"2325"; 
"357";"0";"6550";"7100";"2325"; 
"358";"0";"6950";"7100";"2325"; 
"359";"0";"7350";"7100";"2325"; 
"360";"0";"7750";"7100";"2325"; 
"361";"0";"150";"8000";"2325"; 
"362";"0";"550";"8000";"2325"; 
"363";"0";"950";"8000";"2325"; 
"364";"0";"1350";"8000";"2325"; 
"365";"0";"1750";"8000";"2325"; 
"366";"0";"2150";"8000";"2325"; 
"367";"0";"2550";"8000";"2325"; 
"368";"0";"2950";"8000";"2325"; 
"369";"0";"3350";"8000";"2325"; 
"370";"0";"3750";"8000";"2325"; 
"371";"0";"4150";"8000";"2325"; 
"372";"0";"4550";"8000";"2325"; 
"373";"0";"4950";"8000";"2325"; 
"374";"0";"5350";"8000";"2325"; 
"375";"0";"5750";"8000";"2325"; 
"376";"0";"6150";"8000";"2325"; 
"377";"0";"6550";"8000";"2325"; 
"378";"0";"6950";"8000";"2325"; 
"379";"0";"7350";"8000";"2325"; 
"380";"0";"7750";"8000";"2325"; 
"381";"0";"150";"9000";"2325"; 
"382";"0";"550";"9000";"2325"; 
"383";"0";"950";"9000";"2325"; 
"384";"0";"1350";"9000";"2325"; 
"385";"0";"1750";"9000";"2325"; 
"386";"0";"2150";"9000";"2325"; 
"387";"0";"2550";"9000";"2325"; 
"388";"0";"2950";"9000";"2325"; 
"389";"0";"3350";"9000";"2325"; 
"390";"0";"3750";"9000";"2325"; 
"391";"0";"4150";"9000";"2325"; 
"392";"0";"4550";"9000";"2325"; 
"393";"0";"4950";"9000";"2325"; 
"394";"0";"5350";"9000";"2325"; 
"395";"0";"5750";"9000";"2325"; 
"396";"0";"6150";"9000";"2325"; 
"397";"0";"6550";"9000";"2325"; 
"398";"0";"6950";"9000";"2325"; 
"399";"0";"7350";"9000";"2325"; 
"400";"0";"7750";"9000";"2325"; 
"401";"0";"150";"400";"2575"; 
"402";"0";"550";"400";"2575"; 
"403";"0";"950";"400";"2575"; 
"404";"0";"1350";"400";"2575"; 
"405";"0";"1750";"400";"2575"; 
"406";"0";"2150";"400";"2575"; 
"407";"0";"2550";"400";"2575"; 
"408";"0";"2950";"400";"2575"; 
"409";"0";"3350";"400";"2575"; 
"410";"0";"3750";"400";"2575"; 
"411";"0";"4150";"400";"2575"; 
"412";"0";"4550";"400";"2575"; 
"413";"0";"4950";"400";"2575"; 
"414";"0";"5350";"400";"2575"; 
"415";"0";"5750";"400";"2575"; 
"416";"0";"6150";"400";"2575"; 
"417";"0";"6550";"400";"2575"; 
"418";"0";"6950";"400";"2575"; 
"419";"0";"7350";"400";"2575"; 
"420";"0";"7750";"400";"2575"; 
"421";"0";"150";"1400";"2575"; 
"422";"0";"550";"1400";"2575"; 
"423";"0";"950";"1400";"2575"; 
"424";"0";"1350";"1400";"2575"; 
"425";"0";"1750";"1400";"2575"; 
"426";"0";"2150";"1400";"2575"; 
"427";"0";"2550";"1400";"2575"; 
"428";"0";"2950";"1400";"2575"; 
"429";"0";"3350";"1400";"2575"; 
"430";"0";"3750";"1400";"2575"; 
"431";"0";"4150";"1400";"2575"; 
"432";"0";"4550";"1400";"2575"; 
"433";"0";"4950";"1400";"2575"; 
